Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-09-30,11052.2998046875,11052.2998046875,11052.2998046875,11052.2998046875,0,0,0
1998-10-29,11084.2001953125,11084.2001953125,11084.2001953125,11084.2001953125,0,0,0
1998-11-30,11207.2998046875,11207.2998046875,11207.2998046875,11207.2998046875,0,0,0
1998-12-29,11245.7998046875,11245.7998046875,11245.7998046875,11245.7998046875,0,0,0
1999-03-31,1727.43994140625,1727.43994140625,1727.43994140625,1727.43994140625,0,0,0
1999-04-29,1742.47998046875,1742.47998046875,1742.47998046875,1742.47998046875,0,0,0
1999-06-30,1728.530029296875,1728.530029296875,1728.530029296875,1728.530029296875,0,0,0
1999-07-29,1720.9599609375,1720.9599609375,1720.9599609375,1720.9599609375,0,0,0
1999-08-31,1719.800048828125,1719.800048828125,1719.800048828125,1719.800048828125,0,0,0
1999-09-30,1713.260009765625,1713.260009765625,1713.260009765625,1713.260009765625,0,0,0
1999-10-28,1706.699951171875,1706.699951171875,1706.699951171875,1706.699951171875,0,0,0
1999-11-30,1723.550048828125,1723.550048828125,1723.550048828125,1723.550048828125,0,0,0
1999-12-31,1734.8499755859375,1734.8499755859375,1734.8499755859375,1734.8499755859375,0,0,0
2000-01-31,1717.9599609375,1717.9599609375,1717.9599609375,1717.9599609375,0,0,0
2000-02-29,1721.22998046875,1721.22998046875,1721.22998046875,1721.22998046875,0,0,0
2000-03-30,1735.47998046875,1735.47998046875,1735.47998046875,1735.47998046875,0,0,0
2000-04-27,1740.52001953125,1740.52001953125,1740.52001953125,1740.52001953125,0,0,0
2000-05-31,1742.760009765625,1742.760009765625,1742.760009765625,1742.760009765625,0,0,0
2000-06-29,1743.8299560546875,1743.8299560546875,1743.8299560546875,1743.8299560546875,0,0,0
2000-07-31,1753.18994140625,1753.18994140625,1753.18994140625,1753.18994140625,0,0,0
2000-08-31,1759.280029296875,1759.280029296875,1759.280029296875,1759.280029296875,0,0,0
2000-09-28,1759.8599853515625,1759.8599853515625,1759.8599853515625,1759.8599853515625,0,0,0
2000-10-30,1765.8800048828125,1765.8800048828125,1765.8800048828125,1765.8800048828125,0,0,0
2000-11-30,1774.6500244140625,1774.6500244140625,1774.6500244140625,1774.6500244140625,0,0,0
2000-12-28,1789.0400390625,1789.0400390625,1789.0400390625,1789.0400390625,0,0,0
2001-01-31,1804.1500244140625,1804.1500244140625,1804.1500244140625,1804.1500244140625,0,0,0
2001-02-28,1799.3299560546875,1799.3299560546875,1799.3299560546875,1799.3299560546875,0,0,0
2001-03-29,1806.72998046875,1806.72998046875,1806.72998046875,1806.72998046875,0,0,0
2001-05-31,1802.75,1802.75,1802.75,1802.75,0,0,0
2001-06-28,1812.6199951171875,1812.6199951171875,1812.6199951171875,1812.6199951171875,0,0,0
2001-07-31,1822.030029296875,1822.030029296875,1822.030029296875,1822.030029296875,0,0,0
2001-08-30,1830.1199951171875,1830.1199951171875,1830.1199951171875,1830.1199951171875,0,0,0
2001-10-30,1856.8699951171875,1856.8699951171875,1856.8699951171875,1856.8699951171875,0,0,0
2001-11-29,1849.6600341796875,1849.6600341796875,1849.6600341796875,1849.6600341796875,0,0,0
2001-12-27,1844.449951171875,1844.449951171875,1844.449951171875,1844.449951171875,0,0,0
2002-01-31,1845.1300048828125,1845.1300048828125,1845.1300048828125,1845.1300048828125,0,0,0
2002-02-28,1851.5400390625,1851.5400390625,1851.5400390625,1851.5400390625,0,0,0
2002-03-27,1841.1099853515625,1841.1099853515625,1841.1099853515625,1841.1099853515625,0,0,0
2002-04-29,1856.43994140625,1856.43994140625,1856.43994140625,1856.43994140625,0,0,0
2002-05-30,1859.75,1859.75,1859.75,1859.75,0,0,0
2002-06-27,1867.7099609375,1867.7099609375,1867.7099609375,1867.7099609375,0,0,0
2002-07-31,1874.2099609375,1874.2099609375,1874.2099609375,1874.2099609375,0,0,0
2002-08-29,1891.3499755859375,1891.3499755859375,1891.3499755859375,1891.3499755859375,0,0,0
2002-09-30,1903.5400390625,1903.5400390625,1903.5400390625,1903.5400390625,0,0,0
2002-10-30,1906.5999755859375,1906.5999755859375,1906.5999755859375,1906.5999755859375,0,0,0
2002-11-29,1925.219970703125,1925.219970703125,1925.219970703125,1925.219970703125,0,0,0
2002-12-31,1933.510009765625,1933.510009765625,1933.510009765625,1933.510009765625,0,0,0
2003-01-31,1940.5699462890625,1940.5699462890625,1940.5699462890625,1940.5699462890625,0,0,0
2003-02-27,1945.969970703125,1945.969970703125,1945.969970703125,1945.969970703125,0,0,0
2003-03-31,1944.3699951171875,1944.3699951171875,1944.3699951171875,1944.3699951171875,0,0,0
2003-04-29,1956.93994140625,1956.93994140625,1956.93994140625,1956.93994140625,0,0,0
2003-05-30,1981.7099609375,1981.7099609375,1981.7099609375,1981.7099609375,0,0,0
2003-06-30,1987.06005859375,1987.06005859375,1987.06005859375,1987.06005859375,0,0,0
2003-07-31,1982.27001953125,1982.27001953125,1982.27001953125,1982.27001953125,0,0,0
2003-09-30,1992.81005859375,1992.81005859375,1992.81005859375,1992.81005859375,0,0,0
2003-10-31,1990.8699951171875,1990.8699951171875,1990.8699951171875,1990.8699951171875,0,0,0
2003-12-31,2010.1500244140625,2010.1500244140625,2010.1500244140625,2010.1500244140625,0,0,0
2004-01-29,2023.4000244140625,2023.4000244140625,2023.4000244140625,2023.4000244140625,0,0,0
2004-03-31,2046.5999755859375,2046.5999755859375,2046.5999755859375,2046.5999755859375,0,0,0
2004-04-29,2043.27001953125,2043.27001953125,2043.27001953125,2043.27001953125,0,0,0
2004-06-30,2026.52001953125,2026.52001953125,2026.52001953125,2026.52001953125,0,0,0
2004-07-29,2014.010009765625,2014.010009765625,2014.010009765625,2014.010009765625,0,0,0
2004-08-31,2026.010009765625,2026.010009765625,2026.010009765625,2026.010009765625,0,0,0
2004-09-30,2038.3499755859375,2038.3499755859375,2038.3499755859375,2038.3499755859375,0,0,0
2004-11-30,2062.81005859375,2062.81005859375,2062.81005859375,2062.81005859375,0,0,0
2004-12-30,2083.3701171875,2083.3701171875,2083.3701171875,2083.3701171875,0,0,0
2005-01-31,2105.5,2105.5,2105.5,2105.5,0,0,0
2005-02-28,2115.409912109375,2115.409912109375,2115.409912109375,2115.409912109375,0,0,0
2005-03-31,2099.239990234375,2099.239990234375,2099.239990234375,2099.239990234375,0,0,0
2005-04-28,2092.75,2092.75,2092.75,2092.75,0,0,0
2005-05-31,2117.659912109375,2117.659912109375,2117.659912109375,2117.659912109375,0,0,0
2005-06-30,2158.89990234375,2158.89990234375,2158.89990234375,2158.89990234375,0,0,0
2005-08-31,2199.580078125,2199.580078125,2199.580078125,2199.580078125,0,0,0
2005-09-29,2216.31005859375,2216.31005859375,2216.31005859375,2216.31005859375,0,0,0
2005-10-31,2194.469970703125,2194.469970703125,2194.469970703125,2194.469970703125,0,0,0
2005-11-30,2221.050048828125,2221.050048828125,2221.050048828125,2221.050048828125,0,0,0
2005-12-29,2261.590087890625,2261.590087890625,2261.590087890625,2261.590087890625,0,0,0
2006-01-31,2298.110107421875,2298.110107421875,2298.110107421875,2298.110107421875,0,0,0
2006-02-28,2317.889892578125,2317.889892578125,2317.889892578125,2317.889892578125,0,0,0
2006-03-30,2297.469970703125,2297.469970703125,2297.469970703125,2297.469970703125,0,0,0
2006-04-27,2289.219970703125,2289.219970703125,2289.219970703125,2289.219970703125,0,0,0
2006-05-31,2282.419921875,2282.419921875,2282.419921875,2282.419921875,0,0,0
2006-06-29,2276.419921875,2276.419921875,2276.419921875,2276.419921875,0,0,0
2006-07-31,2301.1298828125,2301.1298828125,2301.1298828125,2301.1298828125,0,0,0
2006-08-31,2326.050048828125,2326.050048828125,2326.050048828125,2326.050048828125,0,0,0
2006-09-28,2342.8701171875,2342.8701171875,2342.8701171875,2342.8701171875,0,0,0
2006-10-30,2368.31005859375,2368.31005859375,2368.31005859375,2368.31005859375,0,0,0
2006-11-30,2398.85009765625,2398.85009765625,2398.85009765625,2398.85009765625,0,0,0
2006-12-28,2426.3701171875,2426.3701171875,2426.3701171875,2426.3701171875,0,0,0
2007-01-31,2466.300048828125,2466.300048828125,2466.300048828125,2466.300048828125,0,0,0
2007-02-28,2477.699951171875,2477.699951171875,2477.699951171875,2477.699951171875,0,0,0
2007-03-29,2499.0,2499.0,2499.0,2499.0,0,0,0
2007-05-31,2559.5,2559.5,2559.5,2559.5,0,0,0
2007-06-28,2540.110107421875,2540.110107421875,2540.110107421875,2540.110107421875,0,0,0
2007-07-31,2516.4599609375,2516.4599609375,2516.4599609375,2516.4599609375,0,0,0
2007-08-30,2506.4599609375,2506.4599609375,2506.4599609375,2506.4599609375,0,0,0
2007-10-31,2545.780029296875,2545.780029296875,2545.780029296875,2545.780029296875,0,0,0
2007-11-29,2503.429931640625,2503.429931640625,2503.429931640625,2503.429931640625,0,0,0
2007-12-31,2490.409912109375,2490.409912109375,2490.409912109375,2490.409912109375,0,0,0
2008-01-31,2396.7900390625,2396.7900390625,2396.7900390625,2396.7900390625,0,0,0
2008-02-28,2383.3701171875,2383.3701171875,2383.3701171875,2383.3701171875,0,0,0
2008-03-31,2337.89990234375,2337.89990234375,2337.89990234375,2337.89990234375,0,0,0
2008-04-29,2404.219970703125,2404.219970703125,2404.219970703125,2404.219970703125,0,0,0
2008-05-29,2399.949951171875,2399.949951171875,2399.949951171875,2399.949951171875,0,0,0
2008-06-30,2294.2900390625,2294.2900390625,2294.2900390625,2294.2900390625,0,0,0
2008-07-31,2274.60009765625,2274.60009765625,2274.60009765625,2274.60009765625,0,0,0
2008-09-30,2108.840087890625,2108.840087890625,2108.840087890625,2108.840087890625,0,0,0
2008-10-30,1852.8800048828125,1852.8800048828125,1852.8800048828125,1852.8800048828125,0,0,0
2008-12-31,1890.8699951171875,1890.8699951171875,1890.8699951171875,1890.8699951171875,0,0,0
2009-01-29,1920.93994140625,1920.93994140625,1920.93994140625,1920.93994140625,0,0,0
2009-02-26,1894.02001953125,1894.02001953125,1894.02001953125,1894.02001953125,0,0,0
2009-03-31,1878.8399658203125,1878.8399658203125,1878.8399658203125,1878.8399658203125,0,0,0
2009-04-29,1960.6300048828125,1960.6300048828125,1960.6300048828125,1960.6300048828125,0,0,0
2009-05-28,2090.889892578125,2090.889892578125,2090.889892578125,2090.889892578125,0,0,0
2009-06-30,2179.360107421875,2179.360107421875,2179.360107421875,2179.360107421875,0,0,0
2009-07-30,2277.199951171875,2277.199951171875,2277.199951171875,2277.199951171875,0,0,0
2009-08-31,2448.639892578125,2448.639892578125,2448.639892578125,2448.639892578125,0,0,0
2009-09-30,2539.830078125,2539.830078125,2539.830078125,2539.830078125,0,0,0
2009-10-29,2556.929931640625,2556.929931640625,2556.929931640625,2556.929931640625,0,0,0
2009-11-30,2577.1298828125,2577.1298828125,2577.1298828125,2577.1298828125,0,0,0
2009-12-31,2578.070068359375,2578.070068359375,2578.070068359375,2578.070068359375,0,0,0
2010-03-31,2714.8798828125,2714.8798828125,2714.8798828125,2714.8798828125,0,0,0
2010-04-29,2723.300048828125,2723.300048828125,2723.300048828125,2723.300048828125,0,0,0
2010-06-30,2605.530029296875,2605.530029296875,2605.530029296875,2605.530029296875,0,0,0
2010-07-29,2636.780029296875,2636.780029296875,2636.780029296875,2636.780029296875,0,0,0
2010-08-31,2646.840087890625,2646.840087890625,2646.840087890625,2646.840087890625,0,0,0
