Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-05-31,1037.510009765625,1037.510009765625,1037.510009765625,1037.510009765625,0,0,0
1990-06-29,1043.199951171875,1043.199951171875,1043.199951171875,1043.199951171875,0,0,0
1990-07-31,1041.0899658203125,1041.0899658203125,1041.0899658203125,1041.0899658203125,0,0,0
1990-08-31,978.5139770507812,978.5139770507812,978.5139770507812,978.5139770507812,0,0,0
1990-09-28,947.1840209960938,947.1840209960938,947.1840209960938,947.1840209960938,0,0,0
1990-10-31,958.1439819335938,958.1439819335938,958.1439819335938,958.1439819335938,0,0,0
1990-11-30,955.4400024414062,955.4400024414062,955.4400024414062,955.4400024414062,0,0,0
1990-12-28,959.0579833984375,959.0579833984375,959.0579833984375,959.0579833984375,0,0,0
1991-01-31,967.6430053710938,967.6430053710938,967.6430053710938,967.6430053710938,0,0,0
1991-02-28,1013.0999755859375,1013.0999755859375,1013.0999755859375,1013.0999755859375,0,0,0
1991-03-28,1028.9599609375,1028.9599609375,1028.9599609375,1028.9599609375,0,0,0
1991-04-30,1030.4300537109375,1030.4300537109375,1030.4300537109375,1030.4300537109375,0,0,0
1991-05-31,1053.489990234375,1053.489990234375,1053.489990234375,1053.489990234375,0,0,0
1991-06-28,1025.7900390625,1025.7900390625,1025.7900390625,1025.7900390625,0,0,0
1991-07-31,1035.8800048828125,1035.8800048828125,1035.8800048828125,1035.8800048828125,0,0,0
1991-08-30,1050.469970703125,1050.469970703125,1050.469970703125,1050.469970703125,0,0,0
1991-09-30,1033.3599853515625,1033.3599853515625,1033.3599853515625,1033.3599853515625,0,0,0
1991-10-31,1015.22998046875,1015.22998046875,1015.22998046875,1015.22998046875,0,0,0
1991-11-29,973.1710205078125,973.1710205078125,973.1710205078125,973.1710205078125,0,0,0
1991-12-31,975.114990234375,975.114990234375,975.114990234375,975.114990234375,0,0,0
1992-01-31,1025.239990234375,1025.239990234375,1025.239990234375,1025.239990234375,0,0,0
1992-02-28,1054.3199462890625,1054.3199462890625,1054.3199462890625,1054.3199462890625,0,0,0
1992-03-31,1038.3299560546875,1038.3299560546875,1038.3299560546875,1038.3299560546875,0,0,0
