Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-12-29,99.7699966430664,99.7699966430664,99.7699966430664,99.7699966430664,0,0,0
1996-01-31,108.75800323486328,108.75800323486328,108.75800323486328,108.75800323486328,0,0,0
1996-02-29,111.25,111.25,111.25,111.25,0,0,0
1996-03-29,113.28399658203125,113.28399658203125,113.28399658203125,113.28399658203125,0,0,0
1996-04-30,119.05599975585938,119.05599975585938,119.05599975585938,119.05599975585938,0,0,0
1996-05-31,117.48200225830078,117.48200225830078,117.48200225830078,117.48200225830078,0,0,0
1996-06-28,118.26899719238281,118.26899719238281,118.26899719238281,118.26899719238281,0,0,0
1996-07-31,112.03700256347656,112.03700256347656,112.03700256347656,112.03700256347656,0,0,0
1996-08-30,110.46299743652344,110.46299743652344,110.46299743652344,110.46299743652344,0,0,0
1996-09-30,118.85900115966797,118.85900115966797,118.85900115966797,118.85900115966797,0,0,0
1996-10-31,120.83000183105469,120.83000183105469,120.83000183105469,120.83000183105469,0,0,0
1996-11-29,128.75999450683594,128.75999450683594,128.75999450683594,128.75999450683594,0,0,0
1996-12-31,130.01100158691406,130.01100158691406,130.01100158691406,130.01100158691406,0,0,0
1997-01-31,142.99899291992188,142.99899291992188,142.99899291992188,142.99899291992188,0,0,0
1997-02-28,146.80299377441406,146.80299377441406,146.80299377441406,146.80299377441406,0,0,0
1997-04-30,146.14700317382812,146.14700317382812,146.14700317382812,146.14700317382812,0,0,0
1997-05-30,143.06399536132812,143.06399536132812,143.06399536132812,143.06399536132812,0,0,0
1997-06-30,154.80599975585938,154.80599975585938,154.80599975585938,154.80599975585938,0,0,0
1997-07-31,161.6280059814453,161.6280059814453,161.6280059814453,161.6280059814453,0,0,0
1997-08-29,145.49099731445312,145.49099731445312,145.49099731445312,145.49099731445312,0,0,0
1997-09-30,151.7899932861328,151.7899932861328,151.7899932861328,151.7899932861328,0,0,0
1997-10-31,141.55599975585938,141.55599975585938,141.55599975585938,141.55599975585938,0,0,0
1997-11-28,148.3769989013672,148.3769989013672,148.3769989013672,148.3769989013672,0,0,0
1997-12-31,157.56100463867188,157.56100463867188,157.56100463867188,157.56100463867188,0,0,0
1998-01-30,164.5800018310547,164.5800018310547,164.5800018310547,164.5800018310547,0,0,0
1998-02-27,176.58399963378906,176.58399963378906,176.58399963378906,176.58399963378906,0,0,0
1998-03-31,199.1490020751953,199.1490020751953,199.1490020751953,199.1490020751953,0,0,0
1998-04-30,199.8699951171875,199.8699951171875,199.8699951171875,199.8699951171875,0,0,0
1998-05-29,212.20199584960938,212.20199584960938,212.20199584960938,212.20199584960938,0,0,0
1998-06-30,211.4810028076172,211.4810028076172,211.4810028076172,211.4810028076172,0,0,0
1998-07-31,210.36500549316406,210.36500549316406,210.36500549316406,210.36500549316406,0,0,0
1998-08-31,176.8459930419922,176.8459930419922,176.8459930419922,176.8459930419922,0,0,0
1998-09-30,151.4600067138672,151.4600067138672,151.4600067138672,151.4600067138672,0,0,0
1998-10-30,166.218994140625,166.218994140625,166.218994140625,166.218994140625,0,0,0
1998-11-30,182.88099670410156,182.88099670410156,182.88099670410156,182.88099670410156,0,0,0
