Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-10-31,1025.31005859375,1025.31005859375,1025.31005859375,1025.31005859375,0,0,0
1985-11-29,1067.8699951171875,1067.8699951171875,1067.8699951171875,1067.8699951171875,0,0,0
1985-12-31,1101.52001953125,1101.52001953125,1101.52001953125,1101.52001953125,0,0,0
1986-01-31,1162.449951171875,1162.449951171875,1162.449951171875,1162.449951171875,0,0,0
1986-02-28,1259.469970703125,1259.469970703125,1259.469970703125,1259.469970703125,0,0,0
1986-03-27,1394.760009765625,1394.760009765625,1394.760009765625,1394.760009765625,0,0,0
1986-04-30,1470.8299560546875,1470.8299560546875,1470.8299560546875,1470.8299560546875,0,0,0
1986-05-30,1413.1800537109375,1413.1800537109375,1413.1800537109375,1413.1800537109375,0,0,0
1986-06-30,1371.0799560546875,1371.0799560546875,1371.0799560546875,1371.0799560546875,0,0,0
1986-07-31,1413.6099853515625,1413.6099853515625,1413.6099853515625,1413.6099853515625,0,0,0
1986-08-29,1473.550048828125,1473.550048828125,1473.550048828125,1473.550048828125,0,0,0
1986-09-30,1414.31005859375,1414.31005859375,1414.31005859375,1414.31005859375,0,0,0
1986-10-31,1374.4000244140625,1374.4000244140625,1374.4000244140625,1374.4000244140625,0,0,0
1986-11-28,1399.550048828125,1399.550048828125,1399.550048828125,1399.550048828125,0,0,0
1986-12-31,1411.4100341796875,1411.4100341796875,1411.4100341796875,1411.4100341796875,0,0,0
1987-01-30,1466.1099853515625,1466.1099853515625,1466.1099853515625,1466.1099853515625,0,0,0
1987-02-27,1484.199951171875,1484.199951171875,1484.199951171875,1484.199951171875,0,0,0
1987-03-31,1563.97998046875,1563.97998046875,1563.97998046875,1563.97998046875,0,0,0
1987-04-30,1515.3299560546875,1515.3299560546875,1515.3299560546875,1515.3299560546875,0,0,0
1987-05-29,1483.5699462890625,1483.5699462890625,1483.5699462890625,1483.5699462890625,0,0,0
1987-06-30,1445.0899658203125,1445.0899658203125,1445.0899658203125,1445.0899658203125,0,0,0
1987-07-31,1462.81005859375,1462.81005859375,1462.81005859375,1462.81005859375,0,0,0
1987-08-31,1473.0,1473.0,1473.0,1473.0,0,0,0
1987-09-30,1445.3399658203125,1445.3399658203125,1445.3399658203125,1445.3399658203125,0,0,0
1987-10-30,1327.4200439453125,1327.4200439453125,1327.4200439453125,1327.4200439453125,0,0,0
1987-11-30,1242.2099609375,1242.2099609375,1242.2099609375,1242.2099609375,0,0,0
1987-12-31,1238.489990234375,1238.489990234375,1238.489990234375,1238.489990234375,0,0,0
1988-01-29,1260.5999755859375,1260.5999755859375,1260.5999755859375,1260.5999755859375,0,0,0
1988-02-29,1298.1099853515625,1298.1099853515625,1298.1099853515625,1298.1099853515625,0,0,0
1988-03-31,1292.050048828125,1292.050048828125,1292.050048828125,1292.050048828125,0,0,0
1988-04-29,1264.030029296875,1264.030029296875,1264.030029296875,1264.030029296875,0,0,0
1988-05-31,1285.5400390625,1285.5400390625,1285.5400390625,1285.5400390625,0,0,0
1988-06-30,1320.6700439453125,1320.6700439453125,1320.6700439453125,1320.6700439453125,0,0,0
1988-07-29,1346.1700439453125,1346.1700439453125,1346.1700439453125,1346.1700439453125,0,0,0
1988-08-31,1334.239990234375,1334.239990234375,1334.239990234375,1334.239990234375,0,0,0
1988-09-30,1380.300048828125,1380.300048828125,1380.300048828125,1380.300048828125,0,0,0
1988-10-28,1406.43994140625,1406.43994140625,1406.43994140625,1406.43994140625,0,0,0
1988-11-30,1404.3199462890625,1404.3199462890625,1404.3199462890625,1404.3199462890625,0,0,0
1988-12-30,1444.280029296875,1444.280029296875,1444.280029296875,1444.280029296875,0,0,0
1989-01-31,1495.25,1495.25,1495.25,1495.25,0,0,0
1989-02-28,1442.2099609375,1442.2099609375,1442.2099609375,1442.2099609375,0,0,0
1989-03-31,1473.52001953125,1473.52001953125,1473.52001953125,1473.52001953125,0,0,0
1989-04-28,1449.550048828125,1449.550048828125,1449.550048828125,1449.550048828125,0,0,0
1989-05-31,1468.0699462890625,1468.0699462890625,1468.0699462890625,1468.0699462890625,0,0,0
1989-06-30,1473.1199951171875,1473.1199951171875,1473.1199951171875,1473.1199951171875,0,0,0
1989-07-31,1541.43994140625,1541.43994140625,1541.43994140625,1541.43994140625,0,0,0
1989-08-31,1591.75,1591.75,1591.75,1591.75,0,0,0
1989-09-29,1619.530029296875,1619.530029296875,1619.530029296875,1619.530029296875,0,0,0
1989-10-31,1512.050048828125,1512.050048828125,1512.050048828125,1512.050048828125,0,0,0
1989-11-30,1555.3900146484375,1555.3900146484375,1555.3900146484375,1555.3900146484375,0,0,0
1989-12-29,1612.1199951171875,1612.1199951171875,1612.1199951171875,1612.1199951171875,0,0,0
1990-01-31,1575.2099609375,1575.2099609375,1575.2099609375,1575.2099609375,0,0,0
1990-02-28,1540.5999755859375,1540.5999755859375,1540.5999755859375,1540.5999755859375,0,0,0
1990-03-30,1559.68994140625,1559.68994140625,1559.68994140625,1559.68994140625,0,0,0
1990-04-30,1575.030029296875,1575.030029296875,1575.030029296875,1575.030029296875,0,0,0
1990-05-31,1616.3299560546875,1616.3299560546875,1616.3299560546875,1616.3299560546875,0,0,0
1990-06-29,1609.18994140625,1609.18994140625,1609.18994140625,1609.18994140625,0,0,0
